sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Adams County,2020-02-15,56.0,12.0,,,-1.0,
Adams County,2020-02-16,2.0,16.0,,,1.0,
Adams County,2020-02-17,-16.0,0.0,,,0.0,
Adams County,2020-02-18,-8.0,-4.0,,,-1.0,
Adams County,2020-02-19,3.0,1.0,,,2.0,
Adams County,2020-02-20,1.0,-4.0,,,2.0,
Adams County,2020-02-21,10.0,0.0,,,-3.0,
Adams County,2020-02-22,42.0,13.0,,,4.0,
Adams County,2020-02-23,6.0,13.0,,,4.0,
Adams County,2020-02-24,4.0,5.0,,,0.0,
Adams County,2020-02-25,-3.0,-9.0,,,-2.0,
Adams County,2020-02-26,3.0,5.0,,,2.0,
Adams County,2020-02-27,3.0,11.0,,,1.0,
Adams County,2020-02-28,11.0,8.0,,,-2.0,
Adams County,2020-02-29,49.0,7.0,,,1.0,
Adams County,2020-03-01,19.0,19.0,,,4.0,
Adams County,2020-03-02,12.0,15.0,,,-4.0,
Adams County,2020-03-03,1.0,12.0,,,-3.0,
Adams County,2020-03-04,11.0,18.0,,,1.0,
Adams County,2020-03-05,19.0,12.0,,,1.0,
Adams County,2020-03-06,12.0,6.0,,,2.0,
Adams County,2020-03-07,52.0,22.0,,,5.0,
Adams County,2020-03-08,27.0,33.0,,,6.0,
Adams County,2020-03-09,4.0,13.0,,,3.0,
Adams County,2020-03-10,12.0,12.0,,,3.0,
Adams County,2020-03-11,24.0,14.0,,,2.0,
Adams County,2020-03-12,11.0,9.0,,,-1.0,
Adams County,2020-03-13,13.0,13.0,,,-1.0,
Adams County,2020-03-14,30.0,22.0,,,6.0,
Adams County,2020-03-15,17.0,37.0,,,6.0,
Adams County,2020-03-16,4.0,31.0,,,-8.0,
Adams County,2020-03-17,-2.0,15.0,,,-14.0,
Adams County,2020-03-18,-36.0,10.0,,,-23.0,
Adams County,2020-03-19,-43.0,-1.0,,,-23.0,
Adams County,2020-03-20,-52.0,-2.0,,,-28.0,
Adams County,2020-03-21,-43.0,5.0,,,-23.0,
Adams County,2020-03-22,-53.0,0.0,,,-31.0,
Adams County,2020-03-23,-23.0,12.0,,,-27.0,
Adams County,2020-03-24,-40.0,-17.0,,,-32.0,
Adams County,2020-03-25,-49.0,-15.0,,,-38.0,
Adams County,2020-03-26,-47.0,-16.0,,,-37.0,
Adams County,2020-03-27,-47.0,-12.0,,,-37.0,
Adams County,2020-03-28,-58.0,-16.0,,,-35.0,
Adams County,2020-03-29,-62.0,-16.0,,,-36.0,
Adams County,2020-03-30,-31.0,-4.0,,,-33.0,
Adams County,2020-03-31,-45.0,-12.0,,,-37.0,
Adams County,2020-04-01,-34.0,-1.0,,,-37.0,
Adams County,2020-04-02,-44.0,-5.0,,,-35.0,
Adams County,2020-04-03,-48.0,-5.0,,,-37.0,
Adams County,2020-04-04,-45.0,-1.0,,,-32.0,
Adams County,2020-04-05,-43.0,1.0,,,-39.0,
Adams County,2020-04-06,,,,,-38.0,
Adams County,2020-04-07,,,,,-41.0,
Adams County,2020-04-08,,,,,-39.0,
Adams County,2020-04-09,,,,,-41.0,
Adams County,2020-04-10,,,,,-48.0,
Adams County,2020-04-11,,,,,-37.0,
Adams County,2020-04-12,,,,,-46.0,
Adams County,2020-04-13,,,,,-38.0,
Adams County,2020-04-14,,,,,-38.0,
Adams County,2020-04-15,,,,,-37.0,
Adams County,2020-04-16,,,,,-36.0,
Adams County,2020-04-17,,,,,-37.0,
Adams County,2020-04-18,,,,,-26.0,
Adams County,2020-04-19,,,,,-34.0,
Adams County,2020-04-20,,,,,-35.0,
Adams County,2020-04-21,,,,,-37.0,
Adams County,2020-04-22,,,,,-38.0,
Adams County,2020-04-23,,,,,-38.0,
Adams County,2020-04-24,,,,,-43.0,
Adams County,2020-04-25,,,,,-34.0,
Adams County,2020-04-26,,,,,-35.0,
Adams County,2020-04-27,,,,,-32.0,
Adams County,2020-04-28,,,,,-35.0,
Adams County,2020-04-29,,,,,-37.0,
Adams County,2020-04-30,,,,,-36.0,
Adams County,2020-05-01,,,,,-38.0,
Adams County,2020-05-02,,,,,-30.0,
Adams County,2020-05-03,,,,,-25.0,
Adams County,2020-05-04,,,,,-28.0,
Adams County,2020-05-05,,,,,-31.0,
Adams County,2020-05-06,,,,,-34.0,
Adams County,2020-05-07,,,,,-32.0,
Adams County,2020-05-08,,,,,-32.0,
Adams County,2020-05-09,,,,,-25.0,
Adams County,2020-05-10,,,,,-32.0,
Adams County,2020-05-11,,,,,-28.0,
Adams County,2020-05-12,,,,,-32.0,
Adams County,2020-05-13,,,,,-30.0,
Adams County,2020-05-14,,,,,-30.0,
Adams County,2020-05-15,,,,,-32.0,
Adams County,2020-05-16,,,,,-21.0,
Adams County,2020-05-17,,,,,-28.0,
Adams County,2020-05-18,,,,,-27.0,
Adams County,2020-05-19,,,,,-26.0,
Adams County,2020-05-20,,,,,-25.0,
Adams County,2020-05-21,,,,,-28.0,
Adams County,2020-05-22,,,,,-33.0,
Adams County,2020-05-23,,,,,-13.0,
Adams County,2020-05-24,,,,,-19.0,
Adams County,2020-05-25,,,,,-62.0,
Adams County,2020-05-26,,,,,-23.0,
Adams County,2020-05-27,,,,,-23.0,
Adams County,2020-05-28,,,,,-26.0,
Adams County,2020-05-29,,,,,-24.0,
Adams County,2020-05-30,,,,,-7.0,
Adams County,2020-05-31,,,,,-6.0,
Adams County,2020-06-01,,,,,-22.0,
Adams County,2020-06-02,,,,,-24.0,
Adams County,2020-06-03,,,,,-24.0,
Adams County,2020-06-04,,,,,-23.0,
Adams County,2020-06-05,,,,,-29.0,
Adams County,2020-06-06,,,,,-9.0,
Adams County,2020-06-07,,,,,-8.0,
Adams County,2020-06-08,,,,,-21.0,
Adams County,2020-06-09,,,,,-20.0,
Adams County,2020-06-10,,,,,-22.0,
Adams County,2020-06-11,,,,,-19.0,
Adams County,2020-06-12,,,,,-21.0,
Adams County,2020-06-13,,,,,4.0,
Adams County,2020-06-14,,,,,1.0,
Adams County,2020-06-15,,,,,-17.0,
Adams County,2020-06-16,,,,,-20.0,
Adams County,2020-06-17,,,,,-17.0,
Adams County,2020-06-18,,,,,-19.0,
Adams County,2020-06-19,,,,,-24.0,
Adams County,2020-06-20,,,,,-1.0,
Adams County,2020-06-21,,,,,0.0,
Adams County,2020-06-22,,,,,-23.0,
Adams County,2020-06-23,,,,,-20.0,
Adams County,2020-06-24,,,,,-19.0,
Adams County,2020-06-25,,,,,-18.0,
Adams County,2020-06-26,,,,,-21.0,
Adams County,2020-06-27,,,,,1.0,
Adams County,2020-06-28,,,,,6.0,
Adams County,2020-06-29,,,,,-20.0,
Adams County,2020-06-30,,,,,-18.0,
Adams County,2020-07-01,,,,,-18.0,
Adams County,2020-07-02,,,,,-23.0,
Adams County,2020-07-03,,,,,-41.0,
Adams County,2020-07-04,,,,,-9.0,
Adams County,2020-07-05,,,,,-4.0,
Adams County,2020-07-06,,,,,-19.0,
Adams County,2020-07-07,,,,,-23.0,
Adams County,2020-07-08,,,,,-19.0,
Adams County,2020-07-09,,,,,-21.0,
Adams County,2020-07-10,,,,,-19.0,
Adams County,2020-07-11,,,,,7.0,
Adams County,2020-07-12,,,,,8.0,
Adams County,2020-07-13,,,,,-18.0,
Adams County,2020-07-14,,,,,-22.0,
Adams County,2020-07-15,,,,,-16.0,
Adams County,2020-07-16,,,,,-15.0,
Adams County,2020-07-17,,,,,-21.0,
Adams County,2020-07-18,,,,,-2.0,
Adams County,2020-07-19,,,,,5.0,
Adams County,2020-07-20,,,,,-14.0,
Adams County,2020-07-21,,,,,-18.0,
Adams County,2020-07-22,,,,,-14.0,
Adams County,2020-07-23,,,,,-16.0,
Adams County,2020-07-24,,,,,-16.0,
Adams County,2020-07-25,,,,,1.0,
Adams County,2020-07-26,,,,,6.0,
Adams County,2020-07-27,,,,,-14.0,
Adams County,2020-07-28,,,,,-16.0,
Adams County,2020-07-29,,,,,-13.0,
Adams County,2020-07-30,,,,,-17.0,
Adams County,2020-07-31,,,,,-18.0,
Adams County,2020-08-01,,,,,0.0,
Adams County,2020-08-02,,,,,0.0,
Adams County,2020-08-03,,,,,-20.0,
Adams County,2020-08-04,,,,,-18.0,
Adams County,2020-08-05,,,,,-15.0,
Adams County,2020-08-06,,,,,-17.0,
Adams County,2020-08-07,,,,,-20.0,
Adams County,2020-08-08,,,,,5.0,
Adams County,2020-08-09,,,,,7.0,
Adams County,2020-08-10,,,,,-21.0,
Adams County,2020-08-11,,,,,-20.0,
Adams County,2020-08-12,,,,,-15.0,
Adams County,2020-08-13,,,,,-20.0,
Adams County,2020-08-14,,,,,-21.0,
Adams County,2020-08-15,,,,,2.0,
Adams County,2020-08-16,,,,,2.0,
Adams County,2020-09-11,,,,,-10.0,
Adams County,2020-09-12,,,,,2.0,
Adams County,2020-09-13,,,,,4.0,
Adams County,2020-09-14,,,,,-13.0,
Adams County,2020-09-15,,,,,-15.0,
Adams County,2020-09-16,,,,,-14.0,
Adams County,2020-09-17,,,,,-14.0,
Adams County,2020-09-18,,,,,-12.0,
Adams County,2020-09-19,,,,,12.0,
Adams County,2020-09-20,,,,,11.0,
Adams County,2020-09-21,,,,,-13.0,
Adams County,2020-09-22,,,,,-17.0,
Adams County,2020-09-23,,,,,-12.0,2.0
Adams County,2020-09-24,,,,,-13.0,3.0
Adams County,2020-09-25,,,,,-12.0,4.0
Adams County,2020-09-26,,,,,9.0,
Adams County,2020-09-27,,,,,4.0,
Adams County,2020-09-28,,,,,-12.0,5.0
Adams County,2020-09-29,,,,,-14.0,3.0
Adams County,2020-09-30,,,,,-14.0,5.0
Adams County,2020-10-01,,,,,-9.0,2.0
Adams County,2020-10-02,,,,,-12.0,3.0
Adams County,2020-10-03,,,,,4.0,
Adams County,2020-10-04,,,,,2.0,
Adams County,2020-10-05,,,,,-11.0,1.0
Adams County,2020-10-06,,,,,-11.0,1.0
Adams County,2020-10-07,,,,,-11.0,1.0
Adams County,2020-10-08,,,,,-13.0,1.0
Adams County,2020-10-09,,,,,-12.0,3.0
Adams County,2020-10-10,,,,,7.0,
Adams County,2020-10-11,,,,,5.0,
Adams County,2020-10-12,,,,,-14.0,6.0
Adams County,2020-10-13,,,,,-12.0,3.0
Adams County,2020-10-14,,,,,-13.0,5.0
Adams County,2020-10-15,,,,,-14.0,4.0
Adams County,2020-10-16,,,,,-13.0,5.0
Adams County,2020-10-17,,,,,4.0,
Adams County,2020-10-18,,,,,-4.0,
Adams County,2020-10-19,,,,,-7.0,5.0
Adams County,2020-10-20,,,,,-13.0,5.0
Adams County,2020-10-21,,,,,-10.0,4.0
Adams County,2020-10-22,,,,,-16.0,7.0
Adams County,2020-10-23,,,,,-11.0,7.0
Adams County,2020-10-24,,,,,3.0,
Adams County,2020-10-25,,,,,-4.0,
Adams County,2020-10-26,,,,,-10.0,7.0
Adams County,2020-10-27,,,,,-13.0,6.0
Adams County,2020-10-28,,,,,-11.0,6.0
Adams County,2020-10-29,,,,,-15.0,4.0
Adams County,2020-10-30,,,,,-17.0,7.0
Adams County,2020-10-31,,,,,4.0,
Adams County,2020-11-01,,,,,-7.0,
Adams County,2020-11-02,,,,,-10.0,5.0
Adams County,2020-11-03,,,,,-12.0,3.0
Adams County,2020-11-04,,,,,-12.0,5.0
Adams County,2020-11-05,,,,,-10.0,5.0
Adams County,2020-11-06,,,,,-11.0,7.0
Adams County,2020-11-07,,,,,5.0,
Adams County,2020-11-08,,,,,-5.0,
Adams County,2020-11-09,,,,,-11.0,7.0
Adams County,2020-11-10,,,,,-15.0,9.0
Adams County,2020-11-11,,,,,-14.0,6.0
Adams County,2020-11-12,,,,,-12.0,6.0
Adams County,2020-11-13,,,,,-12.0,10.0
Adams County,2020-11-14,,,,,8.0,
Adams County,2020-11-15,,,,,-6.0,
Ashland County,2020-02-15,32.0,38.0,,,0.0,
Ashland County,2020-02-16,14.0,5.0,,,,
Ashland County,2020-02-17,-2.0,3.0,,,-9.0,
Ashland County,2020-02-18,-6.0,-21.0,,,-2.0,
Ashland County,2020-02-19,7.0,-14.0,,,3.0,
Ashland County,2020-02-20,8.0,12.0,,,1.0,
Ashland County,2020-02-21,3.0,2.0,,,1.0,
Ashland County,2020-02-22,24.0,19.0,,,2.0,
Ashland County,2020-02-23,26.0,14.0,,,,
Ashland County,2020-02-24,8.0,19.0,,,6.0,
Ashland County,2020-02-25,7.0,10.0,,,0.0,
Ashland County,2020-02-26,15.0,1.0,,,2.0,
Ashland County,2020-02-27,11.0,-8.0,,,-3.0,
Ashland County,2020-02-28,9.0,7.0,,,-1.0,
Ashland County,2020-02-29,25.0,14.0,,,-7.0,
Ashland County,2020-03-01,30.0,0.0,,,,
Ashland County,2020-03-02,10.0,1.0,,,2.0,
Ashland County,2020-03-03,7.0,6.0,,,1.0,
Ashland County,2020-03-04,9.0,10.0,,,-3.0,
Ashland County,2020-03-05,-5.0,-8.0,,,-3.0,
Ashland County,2020-03-06,4.0,6.0,,,-2.0,
Ashland County,2020-03-07,14.0,5.0,,,-4.0,
Ashland County,2020-03-08,25.0,9.0,,,,
Ashland County,2020-03-09,9.0,1.0,,,-1.0,
Ashland County,2020-03-10,11.0,13.0,,,2.0,
Ashland County,2020-03-11,16.0,16.0,,,4.0,
Ashland County,2020-03-12,4.0,19.0,,,4.0,
Ashland County,2020-03-13,-1.0,22.0,,,2.0,
Ashland County,2020-03-14,1.0,40.0,,,4.0,
Ashland County,2020-03-15,6.0,5.0,,,,
Ashland County,2020-03-16,-4.0,30.0,,,-10.0,
Ashland County,2020-03-17,-7.0,4.0,,,-17.0,
Ashland County,2020-03-18,-20.0,13.0,,,-24.0,
Ashland County,2020-03-19,-28.0,22.0,,,-29.0,
Ashland County,2020-03-20,-35.0,-4.0,,,-32.0,
Ashland County,2020-03-21,-36.0,16.0,,,-26.0,
Ashland County,2020-03-22,-40.0,-20.0,,,,
Ashland County,2020-03-23,-27.0,19.0,,,-29.0,
Ashland County,2020-03-24,-37.0,-10.0,,,-36.0,
Ashland County,2020-03-25,-44.0,-39.0,,,-40.0,
Ashland County,2020-03-26,-45.0,-32.0,,,-39.0,
Ashland County,2020-03-27,-43.0,-33.0,,,-42.0,
Ashland County,2020-03-28,-51.0,-29.0,,,-30.0,
Ashland County,2020-03-29,-54.0,-44.0,,,-37.0,
Ashland County,2020-03-30,-34.0,-26.0,,,-39.0,
Ashland County,2020-03-31,-45.0,-40.0,,,-44.0,
Ashland County,2020-04-01,-33.0,-33.0,,,-41.0,
Ashland County,2020-04-02,-31.0,-25.0,,,-42.0,
Ashland County,2020-04-03,-40.0,-15.0,,,-44.0,
Ashland County,2020-04-04,-44.0,-16.0,,,-35.0,
Ashland County,2020-04-05,-38.0,-15.0,,,,
Ashland County,2020-04-06,,,,,-38.0,
Ashland County,2020-04-07,,,,,-41.0,
Ashland County,2020-04-08,,,,,-41.0,
Ashland County,2020-04-09,,,,,-39.0,
Ashland County,2020-04-10,,,,,-46.0,
Ashland County,2020-04-11,,,,,-24.0,
Ashland County,2020-04-12,,,,,-40.0,
Ashland County,2020-04-13,,,,,-41.0,
Ashland County,2020-04-14,,,,,-40.0,
Ashland County,2020-04-15,,,,,-38.0,
Ashland County,2020-04-16,,,,,-39.0,
Ashland County,2020-04-17,,,,,-40.0,
Ashland County,2020-04-18,,,,,-35.0,
Ashland County,2020-04-20,,,,,-38.0,
Ashland County,2020-04-21,,,,,-37.0,
Ashland County,2020-04-22,,,,,-37.0,
Ashland County,2020-04-23,,,,,-37.0,
Ashland County,2020-04-24,,,,,-39.0,
Ashland County,2020-04-25,,,,,-28.0,
Ashland County,2020-04-27,,,,,-35.0,
Ashland County,2020-04-28,,,,,-36.0,
Ashland County,2020-04-29,,,,,-38.0,
Ashland County,2020-04-30,,,,,-38.0,
Ashland County,2020-05-01,,,,,-40.0,
Ashland County,2020-05-02,,,,,-34.0,
Ashland County,2020-05-04,,,,,-32.0,
Ashland County,2020-05-05,,,,,-37.0,
Ashland County,2020-05-06,,,,,-35.0,
Ashland County,2020-05-07,,,,,-33.0,
Ashland County,2020-05-08,,,,,-35.0,
Ashland County,2020-05-09,,,,,-21.0,
Ashland County,2020-05-11,,,,,-29.0,
Ashland County,2020-05-12,,,,,-33.0,
Ashland County,2020-05-13,,,,,-33.0,
Ashland County,2020-05-14,,,,,-31.0,
Ashland County,2020-05-15,,,,,-34.0,
Ashland County,2020-05-16,,,,,-14.0,
Ashland County,2020-05-18,,,,,-27.0,
Ashland County,2020-05-19,,,,,-29.0,
Ashland County,2020-05-20,,,,,-26.0,
Ashland County,2020-05-21,,,,,-29.0,
Ashland County,2020-05-22,,,,,-33.0,
Ashland County,2020-05-23,,,,,-7.0,
Ashland County,2020-05-25,,,,,-67.0,
Ashland County,2020-05-26,,,,,-26.0,
Ashland County,2020-05-27,,,,,-24.0,
Ashland County,2020-05-28,,,,,-24.0,
Ashland County,2020-05-29,,,,,-24.0,
Ashland County,2020-05-30,,,,,-6.0,
Ashland County,2020-06-01,,,,,-22.0,
Ashland County,2020-06-02,,,,,-26.0,
Ashland County,2020-06-03,,,,,-25.0,
Ashland County,2020-06-04,,,,,-21.0,
Ashland County,2020-06-05,,,,,-23.0,
Ashland County,2020-06-06,,,,,-1.0,
Ashland County,2020-06-08,,,,,-21.0,
Ashland County,2020-06-09,,,,,-23.0,
Ashland County,2020-06-10,,,,,-22.0,
Ashland County,2020-06-11,,,,,-17.0,
Ashland County,2020-06-12,,,,,-23.0,
Ashland County,2020-06-13,,,,,-5.0,
Ashland County,2020-06-15,,,,,-20.0,
Ashland County,2020-06-16,,,,,-20.0,
Ashland County,2020-06-17,,,,,-17.0,
Ashland County,2020-06-18,,,,,-20.0,
Ashland County,2020-06-19,,,,,-24.0,
Ashland County,2020-06-20,,,,,-4.0,
Ashland County,2020-06-22,,,,,-21.0,
Ashland County,2020-06-23,,,,,-20.0,
Ashland County,2020-06-24,,,,,-19.0,
Ashland County,2020-06-25,,,,,-24.0,
Ashland County,2020-06-26,,,,,-23.0,
Ashland County,2020-06-27,,,,,-6.0,
Ashland County,2020-06-29,,,,,-21.0,
Ashland County,2020-06-30,,,,,-20.0,
Ashland County,2020-07-01,,,,,-24.0,
Ashland County,2020-07-02,,,,,-21.0,
Ashland County,2020-07-03,,,,,-47.0,
Ashland County,2020-07-04,,,,,4.0,
Ashland County,2020-07-06,,,,,-23.0,
Ashland County,2020-07-07,,,,,-22.0,
Ashland County,2020-07-08,,,,,-19.0,
Ashland County,2020-07-09,,,,,-23.0,
Ashland County,2020-07-10,,,,,-27.0,
Ashland County,2020-07-11,,,,,0.0,
Ashland County,2020-07-13,,,,,-24.0,
Ashland County,2020-07-14,,,,,-26.0,
Ashland County,2020-07-15,,,,,-22.0,
Ashland County,2020-07-16,,,,,-24.0,
Ashland County,2020-07-17,,,,,-26.0,
Ashland County,2020-07-18,,,,,0.0,
Ashland County,2020-07-20,,,,,-23.0,
Ashland County,2020-07-21,,,,,-28.0,
Ashland County,2020-07-22,,,,,-22.0,
Ashland County,2020-07-23,,,,,-24.0,
Ashland County,2020-07-24,,,,,-30.0,
Ashland County,2020-07-25,,,,,-10.0,
Ashland County,2020-07-27,,,,,-25.0,
Ashland County,2020-07-28,,,,,-25.0,
Ashland County,2020-07-29,,,,,-28.0,
Ashland County,2020-07-30,,,,,-24.0,
Ashland County,2020-07-31,,,,,-27.0,
Ashland County,2020-08-01,,,,,-6.0,
Ashland County,2020-08-03,,,,,-26.0,
Ashland County,2020-08-04,,,,,-24.0,
Ashland County,2020-08-05,,,,,-22.0,
Ashland County,2020-08-06,,,,,-26.0,
Ashland County,2020-08-07,,,,,-28.0,
Ashland County,2020-08-08,,,,,-7.0,
Ashland County,2020-08-10,,,,,-22.0,
Ashland County,2020-08-11,,,,,-25.0,
Ashland County,2020-08-12,,,,,-24.0,
Ashland County,2020-08-13,,,,,-28.0,
Ashland County,2020-08-14,,,,,-26.0,
Ashland County,2020-08-15,,,,,-5.0,
Ashland County,2020-09-11,,,,,-26.0,
Ashland County,2020-09-12,,,,,-12.0,
Ashland County,2020-09-14,,,,,-17.0,
Ashland County,2020-09-15,,,,,-22.0,
Ashland County,2020-09-16,,,,,-22.0,
Ashland County,2020-09-17,,,,,-22.0,
Ashland County,2020-09-18,,,,,-24.0,
Ashland County,2020-09-19,,,,,-5.0,
Ashland County,2020-09-21,,,,,-20.0,
Ashland County,2020-09-22,,,,,-24.0,
Ashland County,2020-09-23,,,,,-20.0,
Ashland County,2020-09-24,,,,,-22.0,
Ashland County,2020-09-25,,,,,-27.0,
Ashland County,2020-09-26,,,,,-3.0,
Ashland County,2020-09-28,,,,,-20.0,
Ashland County,2020-09-29,,,,,-24.0,
Ashland County,2020-09-30,,,,,-20.0,
Ashland County,2020-10-01,,,,,-22.0,
Ashland County,2020-10-02,,,,,-22.0,
Ashland County,2020-10-03,,,,,-11.0,
Ashland County,2020-10-05,,,,,-18.0,
Ashland County,2020-10-06,,,,,-19.0,
Ashland County,2020-10-07,,,,,-17.0,
Ashland County,2020-10-08,,,,,-19.0,
Ashland County,2020-10-09,,,,,-20.0,
Ashland County,2020-10-10,,,,,-12.0,
Ashland County,2020-10-12,,,,,-24.0,
Ashland County,2020-10-13,,,,,-18.0,
Ashland County,2020-10-14,,,,,-18.0,
Ashland County,2020-10-15,,,,,-19.0,
Ashland County,2020-10-16,,,,,-19.0,
Ashland County,2020-10-17,,,,,-15.0,
Ashland County,2020-10-19,,,,,-18.0,
Ashland County,2020-10-20,,,,,-21.0,
Ashland County,2020-10-21,,,,,-19.0,
Ashland County,2020-10-22,,,,,-19.0,
Ashland County,2020-10-23,,,,,-21.0,
Ashland County,2020-10-24,,,,,-17.0,
Ashland County,2020-10-26,,,,,-15.0,
Ashland County,2020-10-27,,,,,-19.0,
Ashland County,2020-10-28,,,,,-16.0,
Ashland County,2020-10-29,,,,,-19.0,
Ashland County,2020-10-30,,,,,-22.0,
Ashland County,2020-10-31,,,,,-3.0,
Ashland County,2020-11-02,,,,,-18.0,
Ashland County,2020-11-03,,,,,-18.0,
Ashland County,2020-11-04,,,,,-19.0,
Ashland County,2020-11-05,,,,,-21.0,
Ashland County,2020-11-06,,,,,-22.0,
Ashland County,2020-11-07,,,,,1.0,
Ashland County,2020-11-09,,,,,-18.0,
Ashland County,2020-11-10,,,,,-19.0,
Ashland County,2020-11-11,,,,,-25.0,
Ashland County,2020-11-12,,,,,-21.0,
Ashland County,2020-11-13,,,,,-23.0,
Ashland County,2020-11-14,,,,,-14.0,
Barron County,2020-02-15,12.0,3.0,,,1.0,
Barron County,2020-02-16,9.0,4.0,,,1.0,
Barron County,2020-02-17,2.0,0.0,,,-7.0,1.0
Barron County,2020-02-18,-5.0,-1.0,,,2.0,0.0
Barron County,2020-02-19,3.0,5.0,,,1.0,0.0
Barron County,2020-02-20,3.0,0.0,,,4.0,0.0
Barron County,2020-02-21,6.0,8.0,,,3.0,0.0
Barron County,2020-02-22,9.0,6.0,,,3.0,
Barron County,2020-02-23,14.0,9.0,,,3.0,
Barron County,2020-02-24,0.0,3.0,,,6.0,-1.0
Barron County,2020-02-25,2.0,-1.0,,,3.0,-1.0
Barron County,2020-02-26,12.0,1.0,,,4.0,-1.0
Barron County,2020-02-27,10.0,2.0,,,4.0,-1.0
Barron County,2020-02-28,8.0,0.0,,,3.0,-1.0
Barron County,2020-02-29,13.0,0.0,,,5.0,
Barron County,2020-03-01,20.0,12.0,,,1.0,
Barron County,2020-03-02,7.0,2.0,,,2.0,0.0
Barron County,2020-03-03,15.0,1.0,,,1.0,0.0
Barron County,2020-03-04,10.0,3.0,,,4.0,-1.0
Barron County,2020-03-05,5.0,-1.0,,,3.0,0.0
Barron County,2020-03-06,7.0,1.0,,,3.0,0.0
Barron County,2020-03-07,9.0,3.0,,,8.0,
Barron County,2020-03-08,14.0,11.0,,,1.0,
Barron County,2020-03-09,5.0,4.0,,,4.0,0.0
Barron County,2020-03-10,11.0,2.0,,,2.0,0.0
Barron County,2020-03-11,11.0,10.0,,,2.0,-1.0
Barron County,2020-03-12,6.0,5.0,,,0.0,1.0
Barron County,2020-03-13,6.0,14.0,,,0.0,1.0
Barron County,2020-03-14,2.0,15.0,,,7.0,
Barron County,2020-03-15,4.0,17.0,,,-4.0,
Barron County,2020-03-16,-4.0,20.0,,,-1.0,3.0
Barron County,2020-03-17,-6.0,20.0,,,-6.0,4.0
Barron County,2020-03-18,-25.0,6.0,,,-16.0,7.0
Barron County,2020-03-19,-32.0,0.0,,,-20.0,11.0
Barron County,2020-03-20,-37.0,4.0,,,-22.0,14.0
Barron County,2020-03-21,-41.0,-3.0,,,-16.0,
Barron County,2020-03-22,-43.0,-15.0,,,-25.0,
Barron County,2020-03-23,-27.0,8.0,,,-22.0,10.0
Barron County,2020-03-24,-41.0,-11.0,,,-27.0,14.0
Barron County,2020-03-25,-52.0,-22.0,,,-33.0,16.0
Barron County,2020-03-26,-48.0,-21.0,,,-32.0,15.0
Barron County,2020-03-27,-46.0,-21.0,,,-33.0,17.0
Barron County,2020-03-28,-53.0,-31.0,-55.0,,-23.0,
Barron County,2020-03-29,-47.0,-38.0,,,-31.0,
Barron County,2020-03-30,-35.0,-18.0,,,-29.0,13.0
Barron County,2020-03-31,-35.0,-12.0,,,-33.0,13.0
Barron County,2020-04-01,-35.0,-11.0,,,-32.0,13.0
Barron County,2020-04-02,-40.0,-17.0,,,-33.0,15.0
Barron County,2020-04-03,-52.0,-23.0,,,-36.0,21.0
Barron County,2020-04-04,-55.0,-19.0,,,-28.0,
Barron County,2020-04-05,-46.0,-19.0,,,-32.0,
Barron County,2020-04-06,-41.0,-16.0,,,-34.0,14.0
Barron County,2020-04-07,-39.0,-11.0,,,-35.0,14.0
Barron County,2020-04-08,-41.0,-15.0,,,-35.0,15.0
Barron County,2020-04-09,-40.0,-14.0,,,-37.0,17.0
Barron County,2020-04-10,-39.0,-11.0,,,-43.0,19.0
Barron County,2020-04-11,-42.0,-5.0,,,-29.0,
Barron County,2020-04-12,-75.0,-59.0,,,-43.0,
Barron County,2020-04-13,-45.0,-24.0,,,-35.0,16.0
Barron County,2020-04-14,-41.0,-14.0,,,-32.0,15.0
Barron County,2020-04-15,-24.0,-3.0,,,-32.0,14.0
Barron County,2020-04-16,-27.0,-9.0,,,-33.0,16.0
Barron County,2020-04-17,-33.0,-10.0,,,-32.0,17.0
Barron County,2020-04-18,-32.0,-10.0,,,-24.0,
Barron County,2020-04-19,-22.0,-4.0,,,-28.0,
Barron County,2020-04-20,-27.0,-12.0,,,-32.0,13.0
Barron County,2020-04-21,-25.0,-4.0,,,-33.0,13.0
Barron County,2020-04-22,-21.0,-4.0,,,-32.0,11.0
Barron County,2020-04-23,-25.0,0.0,,,-31.0,13.0
Barron County,2020-04-24,-26.0,-4.0,,,-34.0,14.0
Barron County,2020-04-25,-27.0,3.0,,,-22.0,
Barron County,2020-04-26,-15.0,8.0,,,-28.0,
Barron County,2020-04-27,-13.0,1.0,,,-30.0,10.0
Barron County,2020-04-28,-28.0,-9.0,,,-32.0,9.0
Barron County,2020-04-29,-14.0,6.0,,,-32.0,12.0
Barron County,2020-04-30,-13.0,9.0,,,-30.0,10.0
Barron County,2020-05-01,-17.0,15.0,,,-30.0,12.0
Barron County,2020-05-02,-18.0,28.0,,,-16.0,
Barron County,2020-05-03,-8.0,20.0,,,-27.0,
Barron County,2020-05-04,-11.0,16.0,,,-27.0,9.0
Barron County,2020-05-05,-11.0,16.0,,,-30.0,10.0
Barron County,2020-05-06,-11.0,17.0,,,-30.0,10.0
