sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,infection_count
Brown County,2020-02-15,7.0,6.0,0.0,0.0,0.0
Brown County,2020-02-16,9.0,6.0,4.0,-1.0,0.0
Brown County,2020-02-17,-5.0,2.0,1.0,2.0,0.0
Brown County,2020-02-18,-6.0,-4.0,1.0,1.0,0.0
Brown County,2020-02-19,0.0,3.0,2.0,0.0,0.0
Brown County,2020-02-20,3.0,1.0,2.0,0.0,0.0
Brown County,2020-02-21,4.0,-4.0,3.0,1.0,0.0
Brown County,2020-02-22,15.0,10.0,3.0,-2.0,0.0
Brown County,2020-02-23,16.0,7.0,5.0,-2.0,0.0
Brown County,2020-02-24,2.0,5.0,3.0,0.0,0.0
Brown County,2020-02-25,3.0,3.0,2.0,0.0,0.0
Brown County,2020-02-26,4.0,3.0,3.0,0.0,0.0
Brown County,2020-02-27,6.0,0.0,3.0,-1.0,0.0
Brown County,2020-02-28,6.0,-3.0,3.0,0.0,0.0
Brown County,2020-02-29,11.0,7.0,4.0,-2.0,0.0
Brown County,2020-03-01,19.0,6.0,6.0,-2.0,0.0
Brown County,2020-03-02,5.0,5.0,5.0,-1.0,0.0
Brown County,2020-03-03,7.0,6.0,0.0,0.0,0.0
Brown County,2020-03-04,6.0,6.0,3.0,-1.0,0.0
Brown County,2020-03-05,4.0,2.0,3.0,0.0,0.0
Brown County,2020-03-06,6.0,-2.0,0.0,1.0,0.0
Brown County,2020-03-07,13.0,11.0,7.0,-2.0,0.0
Brown County,2020-03-08,13.0,7.0,6.0,-1.0,0.0
Brown County,2020-03-09,-1.0,0.0,2.0,1.0,0.0
Brown County,2020-03-10,6.0,5.0,1.0,0.0,0.0
Brown County,2020-03-11,3.0,5.0,1.0,0.0,0.0
Brown County,2020-03-12,4.0,23.0,0.0,1.0,0.0
Brown County,2020-03-13,2.0,27.0,-1.0,2.0,0.0
Brown County,2020-03-14,-9.0,24.0,-1.0,2.0,0.0
Brown County,2020-03-15,-7.0,7.0,2.0,2.0,0.0
Brown County,2020-03-16,-8.0,25.0,-11.0,5.0,0.0
Brown County,2020-03-17,-19.0,20.0,-21.0,9.0,0.0
Brown County,2020-03-18,-35.0,10.0,-27.0,12.0,1.0
Brown County,2020-03-19,-42.0,-2.0,-31.0,15.0,2.0
Brown County,2020-03-20,-43.0,0.0,-33.0,18.0,2.0
Brown County,2020-03-21,-52.0,-5.0,-21.0,12.0,3.0
Brown County,2020-03-22,-52.0,-23.0,-26.0,10.0,3.0
Brown County,2020-03-23,-36.0,1.0,-36.0,15.0,3.0
Brown County,2020-03-24,-50.0,-17.0,-41.0,19.0,3.0
Brown County,2020-03-25,-56.0,-26.0,-45.0,21.0,3.0
Brown County,2020-03-26,-52.0,-23.0,-45.0,21.0,4.0
Brown County,2020-03-27,-52.0,-26.0,-45.0,24.0,5.0
Brown County,2020-03-28,-60.0,-23.0,-30.0,16.0,6.0
Brown County,2020-03-29,-56.0,-31.0,-31.0,13.0,6.0
Brown County,2020-03-30,-48.0,-20.0,-44.0,19.0,7.0
Brown County,2020-03-31,-49.0,-19.0,-47.0,20.0,9.0
Brown County,2020-04-01,-46.0,-16.0,-46.0,19.0,11.0
Brown County,2020-04-02,-45.0,-16.0,-46.0,20.0,17.0
Brown County,2020-04-03,-46.0,-18.0,-46.0,23.0,24.0
Brown County,2020-04-04,-54.0,-11.0,-34.0,14.0,24.0
Brown County,2020-04-05,-49.0,-21.0,-31.0,10.0,29.0
Brown County,2020-04-06,-46.0,-17.0,-46.0,19.0,39.0
Brown County,2020-04-07,-48.0,-17.0,-48.0,20.0,41.0
Brown County,2020-04-08,-48.0,-16.0,-47.0,20.0,41.0
Brown County,2020-04-09,-47.0,-15.0,-47.0,21.0,50.0
Brown County,2020-04-10,-47.0,-15.0,-50.0,25.0,55.0
Brown County,2020-04-11,-50.0,-1.0,-36.0,13.0,60.0
Brown County,2020-04-12,-73.0,-46.0,-42.0,13.0,68.0
Brown County,2020-04-13,-49.0,-19.0,-45.0,20.0,77.0
Brown County,2020-04-14,-49.0,-16.0,-46.0,21.0,97.0
Brown County,2020-04-15,-40.0,-9.0,-46.0,20.0,114.0
Brown County,2020-04-16,-41.0,-10.0,-45.0,21.0,139.0
Brown County,2020-04-17,-44.0,-18.0,-46.0,23.0,180.0
Brown County,2020-04-18,-49.0,-9.0,-34.0,13.0,204.0
Brown County,2020-04-19,-44.0,-19.0,-31.0,10.0,215.0
Brown County,2020-04-20,-42.0,-16.0,-45.0,19.0,285.0
Brown County,2020-04-21,-43.0,-9.0,-46.0,20.0,314.0
Brown County,2020-04-22,-45.0,-9.0,-46.0,20.0,402.0
Brown County,2020-04-23,-46.0,-11.0,-46.0,21.0,455.0
Brown County,2020-04-24,-46.0,-15.0,-46.0,22.0,605.0
Brown County,2020-04-25,-49.0,-10.0,-32.0,12.0,720.0
Brown County,2020-04-26,-40.0,-14.0,-29.0,8.0,776.0
Brown County,2020-04-27,-42.0,-7.0,-45.0,19.0,853.0
Brown County,2020-04-28,-41.0,-3.0,-47.0,14.0,920.0
Brown County,2020-04-29,-46.0,-10.0,-47.0,21.0,971.0
Brown County,2020-04-30,-38.0,1.0,-46.0,18.0,1057.0
Brown County,2020-05-01,-40.0,-3.0,-45.0,19.0,1175.0
Brown County,2020-05-02,-45.0,1.0,-30.0,9.0,1272.0
Brown County,2020-05-03,-35.0,-5.0,-27.0,7.0,1358.0
Brown County,2020-05-04,-34.0,1.0,-44.0,17.0,1448.0
Brown County,2020-05-05,-35.0,9.0,-44.0,18.0,1545.0
Brown County,2020-05-06,-36.0,3.0,-44.0,17.0,1653.0
Brown County,2020-05-07,-35.0,5.0,-43.0,18.0,1706.0
Brown County,2020-05-08,-39.0,-2.0,-43.0,21.0,1777.0
Brown County,2020-05-09,-41.0,18.0,-27.0,10.0,1834.0
Brown County,2020-05-10,-39.0,-1.0,-24.0,8.0,1897.0
Brown County,2020-05-11,-33.0,1.0,-41.0,17.0,1924.0
Brown County,2020-05-12,-33.0,6.0,-42.0,17.0,1958.0
Brown County,2020-05-13,-33.0,0.0,-42.0,17.0,1982.0
Brown County,2020-05-14,-34.0,2.0,-42.0,18.0,1999.0
Brown County,2020-05-15,-33.0,-5.0,-41.0,16.0,2034.0
Brown County,2020-05-16,-37.0,3.0,-24.0,7.0,2070.0
Brown County,2020-05-17,-40.0,-11.0,-20.0,9.0,2096.0
Brown County,2020-05-18,-32.0,-4.0,-40.0,17.0,2102.0
Brown County,2020-05-19,-26.0,9.0,-40.0,16.0,2118.0
Brown County,2020-05-20,-19.0,10.0,-38.0,13.0,2135.0
Brown County,2020-05-21,-18.0,16.0,-38.0,13.0,2177.0
Brown County,2020-05-22,-26.0,2.0,-40.0,13.0,2204.0
Brown County,2020-05-23,-35.0,5.0,-18.0,4.0,2238.0
Brown County,2020-05-24,-21.0,4.0,-21.0,1.0,2243.0
Brown County,2020-05-25,-18.0,5.0,-77.0,17.0,2249.0
Brown County,2020-05-26,-15.0,14.0,-36.0,12.0,2249.0
Brown County,2020-05-27,-14.0,12.0,-35.0,12.0,2285.0
Brown County,2020-05-28,-23.0,5.0,-35.0,16.0,2300.0
Brown County,2020-05-29,-20.0,5.0,-32.0,13.0,2308.0
Brown County,2020-05-30,-26.0,13.0,-6.0,4.0,2318.0
Brown County,2020-05-31,-12.0,9.0,-6.0,1.0,2319.0
Brown County,2020-06-01,-14.0,11.0,-33.0,12.0,2320.0
Brown County,2020-06-02,-15.0,14.0,-34.0,12.0,2334.0
Brown County,2020-06-03,-9.0,17.0,-32.0,10.0,2350.0
Brown County,2020-06-04,-10.0,17.0,-32.0,10.0,2361.0
Brown County,2020-06-05,-16.0,7.0,-32.0,11.0,2369.0
Brown County,2020-06-06,-24.0,12.0,-5.0,1.0,2374.0
Brown County,2020-06-07,-9.0,9.0,-7.0,0.0,2377.0
Brown County,2020-06-08,-6.0,19.0,-32.0,9.0,2377.0
Brown County,2020-06-09,-11.0,19.0,-33.0,11.0,2399.0
Brown County,2020-06-10,-12.0,12.0,-32.0,12.0,2405.0
Brown County,2020-06-11,-7.0,22.0,-32.0,10.0,2421.0
Brown County,2020-06-12,-14.0,11.0,-31.0,10.0,2442.0
Brown County,2020-06-13,-22.0,15.0,-7.0,1.0,2458.0
Brown County,2020-06-14,-7.0,11.0,-2.0,-1.0,2469.0
Brown County,2020-06-15,-5.0,18.0,-31.0,9.0,2469.0
Brown County,2020-06-16,-8.0,20.0,-32.0,9.0,2492.0
Brown County,2020-06-17,-7.0,19.0,-31.0,8.0,2507.0
Brown County,2020-06-18,-7.0,21.0,-32.0,8.0,2520.0
Brown County,2020-06-19,-12.0,10.0,-32.0,8.0,2538.0
Brown County,2020-06-20,-21.0,19.0,-8.0,4.0,2572.0
Brown County,2020-06-21,-9.0,17.0,-1.0,-3.0,2580.0
Brown County,2020-06-22,-11.0,12.0,-34.0,11.0,2581.0
Brown County,2020-06-23,-8.0,18.0,-34.0,10.0,2620.0
Brown County,2020-06-24,-6.0,18.0,-32.0,9.0,2661.0
Brown County,2020-06-25,-5.0,21.0,-32.0,8.0,2698.0
Brown County,2020-06-26,-15.0,10.0,-33.0,10.0,2738.0
Brown County,2020-06-27,-24.0,15.0,-5.0,-1.0,2777.0
Brown County,2020-06-28,-8.0,11.0,-1.0,-3.0,2826.0
Brown County,2020-06-29,-8.0,18.0,-32.0,9.0,2825.0
Brown County,2020-06-30,-4.0,24.0,-32.0,9.0,2873.0
Brown County,2020-07-01,-1.0,28.0,-32.0,8.0,2916.0
Brown County,2020-07-02,3.0,38.0,-36.0,7.0,2937.0
Brown County,2020-07-03,-12.0,19.0,-56.0,11.0,2968.0
Brown County,2020-07-04,-45.0,-1.0,-27.0,-1.0,2997.0
Brown County,2020-07-05,-18.0,1.0,-11.0,-3.0,3018.0
Brown County,2020-07-06,-6.0,18.0,-37.0,9.0,3049.0
Brown County,2020-07-07,-9.0,18.0,-35.0,10.0,3072.0
Brown County,2020-07-08,-7.0,18.0,-33.0,9.0,3087.0
Brown County,2020-07-09,-8.0,17.0,-34.0,10.0,3123.0
Brown County,2020-07-10,-12.0,8.0,-33.0,9.0,3144.0
Brown County,2020-07-11,-23.0,12.0,-10.0,0.0,3197.0
Brown County,2020-07-12,-8.0,10.0,-6.0,-2.0,3228.0
Brown County,2020-07-13,-5.0,17.0,-33.0,8.0,3229.0
Brown County,2020-07-14,-9.0,16.0,-34.0,9.0,3305.0
Brown County,2020-07-15,-9.0,16.0,-33.0,10.0,3348.0
Brown County,2020-07-16,-5.0,22.0,-33.0,7.0,3393.0
Brown County,2020-07-17,-14.0,9.0,-33.0,8.0,3407.0
Brown County,2020-07-18,-25.0,10.0,-6.0,2.0,3462.0
Brown County,2020-07-19,-8.0,11.0,-5.0,-2.0,3507.0
Brown County,2020-07-20,-5.0,16.0,-33.0,8.0,3510.0
Brown County,2020-07-21,-8.0,15.0,-34.0,9.0,3596.0
Brown County,2020-07-22,-5.0,15.0,-33.0,8.0,3629.0
Brown County,2020-07-23,-5.0,18.0,-32.0,7.0,3667.0
Brown County,2020-07-24,-13.0,7.0,-32.0,8.0,3688.0
Brown County,2020-07-25,-23.0,11.0,-10.0,0.0,3735.0
Brown County,2020-07-26,-12.0,7.0,-9.0,0.0,3766.0
Brown County,2020-07-27,-5.0,16.0,-33.0,8.0,3768.0
Brown County,2020-07-28,-10.0,13.0,-33.0,9.0,3822.0
Brown County,2020-07-29,-5.0,14.0,-32.0,7.0,3855.0
Brown County,2020-07-30,-5.0,16.0,-32.0,7.0,3896.0
Brown County,2020-07-31,-11.0,9.0,-32.0,7.0,3919.0
Brown County,2020-08-01,-22.0,11.0,-6.0,-1.0,3962.0
Brown County,2020-08-02,-10.0,8.0,-8.0,0.0,4008.0
Brown County,2020-08-03,-5.0,16.0,-33.0,8.0,4011.0
Brown County,2020-08-04,-8.0,17.0,-33.0,8.0,4063.0
Brown County,2020-08-05,-5.0,17.0,-33.0,7.0,4100.0
Brown County,2020-08-06,-5.0,19.0,-32.0,7.0,4151.0
Brown County,2020-08-07,-13.0,7.0,-32.0,7.0,4193.0
Brown County,2020-08-08,-24.0,8.0,-9.0,2.0,4240.0
Brown County,2020-08-09,-8.0,10.0,-5.0,-2.0,4264.0
Brown County,2020-08-10,-9.0,13.0,-34.0,9.0,4264.0
Brown County,2020-08-11,-9.0,15.0,-34.0,8.0,4340.0
Brown County,2020-08-12,-7.0,14.0,-33.0,7.0,4352.0
Brown County,2020-08-13,-5.0,16.0,-32.0,7.0,4391.0
Brown County,2020-08-14,-13.0,6.0,-33.0,7.0,4425.0
Brown County,2020-08-15,-21.0,12.0,-12.0,0.0,4469.0
Brown County,2020-08-16,-6.0,10.0,-6.0,-3.0,4505.0
Brown County,2020-08-17,-6.0,15.0,-33.0,7.0,4505.0
Brown County,2020-08-18,-8.0,14.0,-31.0,8.0,4505.0
Brown County,2020-08-19,-4.0,14.0,-32.0,7.0,4656.0
Brown County,2020-08-20,-3.0,16.0,-32.0,7.0,4682.0
Brown County,2020-08-21,-11.0,7.0,-33.0,7.0,4739.0
Brown County,2020-08-22,-16.0,11.0,-3.0,0.0,4906.0
Brown County,2020-08-23,-4.0,12.0,-6.0,-2.0,4959.0
Brown County,2020-08-24,-6.0,16.0,-31.0,7.0,4969.0
Brown County,2020-08-25,-8.0,13.0,-32.0,8.0,5074.0
Brown County,2020-08-26,-5.0,16.0,-31.0,7.0,5143.0
Brown County,2020-08-27,-8.0,13.0,-31.0,8.0,5194.0
Brown County,2020-08-28,-12.0,6.0,-32.0,10.0,5262.0
Brown County,2020-08-29,-17.0,12.0,-8.0,-1.0,5319.0
Brown County,2020-08-30,-2.0,10.0,-5.0,-2.0,5370.0
Brown County,2020-08-31,-4.0,16.0,-30.0,8.0,5376.0
Brown County,2020-09-01,-9.0,14.0,-33.0,8.0,5469.0
Brown County,2020-09-02,-7.0,17.0,-31.0,7.0,5508.0
Brown County,2020-09-03,-7.0,21.0,-31.0,7.0,5550.0
Brown County,2020-09-04,-13.0,10.0,-33.0,6.0,5689.0
Brown County,2020-09-05,-23.0,11.0,-13.0,-1.0,5787.0
Brown County,2020-09-06,-8.0,8.0,-11.0,-1.0,5845.0
Brown County,2020-09-07,-9.0,7.0,-75.0,15.0,5885.0
Brown County,2020-09-08,-17.0,11.0,-34.0,9.0,5892.0
Brown County,2020-09-09,-12.0,11.0,-31.0,9.0,6067.0
Brown County,2020-09-10,-11.0,12.0,-31.0,8.0,6176.0
Brown County,2020-09-11,-16.0,2.0,-30.0,7.0,6234.0
Brown County,2020-09-12,-21.0,11.0,-5.0,4.0,6366.0
Brown County,2020-09-13,-16.0,5.0,-6.0,0.0,6491.0
Brown County,2020-09-14,-10.0,11.0,-25.0,7.0,6490.0
Brown County,2020-09-15,-12.0,10.0,-29.0,8.0,6657.0
Brown County,2020-09-16,-10.0,10.0,-29.0,7.0,6817.0
Brown County,2020-09-17,-10.0,11.0,-30.0,7.0,7013.0
Brown County,2020-09-18,-14.0,4.0,-30.0,7.0,7183.0
Brown County,2020-09-19,-20.0,12.0,-6.0,0.0,7400.0
Brown County,2020-09-20,-16.0,6.0,-4.0,0.0,7484.0
Brown County,2020-09-21,-12.0,14.0,-27.0,8.0,7563.0
Brown County,2020-09-22,-15.0,9.0,-31.0,9.0,7703.0
Brown County,2020-09-23,-13.0,13.0,-28.0,8.0,8032.0
Brown County,2020-09-24,-14.0,10.0,-30.0,9.0,8221.0
Brown County,2020-09-25,-16.0,4.0,-30.0,9.0,8499.0
Brown County,2020-09-26,-24.0,7.0,-5.0,1.0,8778.0
Brown County,2020-09-27,-16.0,8.0,-6.0,1.0,8897.0
Brown County,2020-09-28,-16.0,8.0,-27.0,10.0,8985.0
Brown County,2020-09-29,-19.0,10.0,-30.0,10.0,9223.0
Brown County,2020-09-30,-14.0,12.0,-30.0,9.0,9536.0
Brown County,2020-10-01,-14.0,12.0,-30.0,9.0,9796.0
Brown County,2020-10-02,-20.0,5.0,-31.0,11.0,10022.0
Brown County,2020-10-03,-27.0,12.0,-8.0,5.0,10398.0
Brown County,2020-10-04,-15.0,10.0,-8.0,2.0,10453.0
Brown County,2020-10-05,-16.0,14.0,-30.0,9.0,10482.0
Brown County,2020-10-06,-20.0,9.0,-33.0,10.0,10609.0
Brown County,2020-10-07,-17.0,11.0,-31.0,10.0,10854.0
Brown County,2020-10-08,-18.0,10.0,-32.0,10.0,11173.0
Brown County,2020-10-09,-22.0,3.0,-31.0,10.0,11386.0
Brown County,2020-10-10,-26.0,8.0,-3.0,1.0,11709.0
Brown County,2020-10-11,-18.0,7.0,-5.0,1.0,11801.0
Brown County,2020-10-12,-22.0,9.0,-30.0,12.0,11804.0
Brown County,2020-10-13,-22.0,9.0,-33.0,11.0,12045.0
Brown County,2020-10-14,-19.0,10.0,-31.0,11.0,12220.0
Brown County,2020-10-15,-17.0,11.0,-31.0,11.0,12519.0
Brown County,2020-10-16,-21.0,2.0,-31.0,12.0,12848.0
Brown County,2020-10-17,-24.0,12.0,-7.0,5.0,12848.0
Brown County,2020-10-18,-22.0,5.0,-7.0,3.0,12848.0
Brown County,2020-10-19,-19.0,11.0,-28.0,10.0,13497.0
Brown County,2020-10-20,-23.0,7.0,-32.0,12.0,13666.0
Brown County,2020-10-21,-18.0,9.0,-30.0,11.0,13912.0
Brown County,2020-10-22,-24.0,1.0,-30.0,12.0,14238.0
Brown County,2020-10-23,-20.0,2.0,-31.0,12.0,14556.0
Brown County,2020-10-24,-24.0,8.0,-3.0,4.0,14724.0
Brown County,2020-10-25,-23.0,0.0,-7.0,4.0,14887.0
Brown County,2020-10-26,-16.0,9.0,-27.0,10.0,14903.0
Brown County,2020-10-27,-20.0,6.0,-31.0,11.0,15432.0
Brown County,2020-10-28,-15.0,12.0,-28.0,10.0,15710.0
Brown County,2020-10-29,-17.0,9.0,-29.0,11.0,16084.0
Brown County,2020-10-30,-15.0,7.0,-31.0,11.0,16341.0
Brown County,2020-10-31,-25.0,15.0,-5.0,3.0,16484.0
Brown County,2020-11-01,-23.0,-1.0,-7.0,4.0,16581.0
Brown County,2020-11-02,-19.0,10.0,-26.0,10.0,16752.0
Brown County,2020-11-03,-12.0,14.0,-31.0,10.0,16937.0
Brown County,2020-11-04,-19.0,6.0,-29.0,11.0,17376.0
Brown County,2020-11-05,-19.0,6.0,-30.0,10.0,17681.0
Brown County,2020-11-06,-21.0,-1.0,-30.0,12.0,17927.0
Brown County,2020-11-07,-22.0,8.0,-1.0,3.0,18281.0
Brown County,2020-11-08,-13.0,5.0,-6.0,2.0,18384.0
Brown County,2020-11-09,-17.0,10.0,-27.0,10.0,18411.0
Brown County,2020-11-10,-25.0,1.0,-31.0,13.0,18667.0
Brown County,2020-11-11,-13.0,16.0,-30.0,11.0,19280.0
Brown County,2020-11-12,-19.0,7.0,-29.0,11.0,19627.0
Brown County,2020-11-13,-22.0,1.0,-29.0,13.0,19926.0
Brown County,2020-11-14,-23.0,11.0,-5.0,6.0,20227.0
Brown County,2020-11-15,-26.0,-2.0,-5.0,6.0,20312.0
Dane County,2020-02-15,10.0,8.0,7.0,-1.0,0.0
Dane County,2020-02-16,9.0,6.0,6.0,-1.0,0.0
Dane County,2020-02-17,-16.0,-10.0,-2.0,4.0,0.0
Dane County,2020-02-18,0.0,7.0,0.0,0.0,0.0
Dane County,2020-02-19,-2.0,2.0,1.0,0.0,0.0
Dane County,2020-02-20,-3.0,0.0,1.0,0.0,0.0
Dane County,2020-02-21,4.0,0.0,2.0,0.0,0.0
Dane County,2020-02-22,9.0,10.0,8.0,-2.0,0.0
Dane County,2020-02-23,12.0,8.0,7.0,-2.0,0.0
Dane County,2020-02-24,0.0,5.0,5.0,0.0,0.0
Dane County,2020-02-25,-5.0,0.0,2.0,1.0,0.0
Dane County,2020-02-26,-1.0,2.0,1.0,0.0,0.0
Dane County,2020-02-27,3.0,4.0,2.0,0.0,0.0
Dane County,2020-02-28,9.0,3.0,0.0,0.0,0.0
Dane County,2020-02-29,17.0,13.0,8.0,-2.0,0.0
Dane County,2020-03-01,16.0,13.0,6.0,-2.0,0.0
Dane County,2020-03-02,3.0,5.0,5.0,0.0,0.0
Dane County,2020-03-03,2.0,6.0,-1.0,1.0,0.0
Dane County,2020-03-04,4.0,6.0,2.0,-1.0,0.0
Dane County,2020-03-05,2.0,4.0,3.0,0.0,0.0
Dane County,2020-03-06,8.0,5.0,6.0,-1.0,0.0
Dane County,2020-03-07,12.0,12.0,12.0,-2.0,0.0
Dane County,2020-03-08,11.0,12.0,7.0,-2.0,0.0
Dane County,2020-03-09,-2.0,1.0,4.0,1.0,0.0
Dane County,2020-03-10,3.0,9.0,2.0,0.0,2.0
Dane County,2020-03-11,3.0,14.0,1.0,0.0,2.0
Dane County,2020-03-12,2.0,30.0,0.0,2.0,4.0
Dane County,2020-03-13,-2.0,32.0,-2.0,3.0,5.0
Dane County,2020-03-14,-19.0,22.0,1.0,5.0,6.0
Dane County,2020-03-15,-24.0,4.0,-4.0,5.0,6.0
Dane County,2020-03-16,-25.0,13.0,-25.0,12.0,10.0
Dane County,2020-03-17,-35.0,9.0,-37.0,17.0,19.0
Dane County,2020-03-18,-49.0,-7.0,-45.0,22.0,23.0
Dane County,2020-03-19,-53.0,-9.0,-48.0,24.0,27.0
Dane County,2020-03-20,-50.0,-2.0,-48.0,24.0,32.0
Dane County,2020-03-21,-59.0,-11.0,-28.0,13.0,49.0
Dane County,2020-03-22,-62.0,-29.0,-35.0,12.0,61.0
Dane County,2020-03-23,-47.0,-9.0,-52.0,23.0,70.0
Dane County,2020-03-24,-59.0,-21.0,-58.0,27.0,72.0
Dane County,2020-03-25,-62.0,-27.0,-61.0,28.0,88.0
Dane County,2020-03-26,-62.0,-27.0,-61.0,30.0,134.0
Dane County,2020-03-27,-61.0,-27.0,-59.0,29.0,158.0
Dane County,2020-03-28,-71.0,-33.0,-41.0,18.0,172.0
Dane County,2020-03-29,-68.0,-38.0,-43.0,15.0,183.0
Dane County,2020-03-30,-57.0,-26.0,-61.0,25.0,192.0
Dane County,2020-03-31,-61.0,-25.0,-63.0,29.0,214.0
Dane County,2020-04-01,-57.0,-20.0,-63.0,27.0,215.0
Dane County,2020-04-02,-58.0,-18.0,-63.0,28.0,238.0
Dane County,2020-04-03,-57.0,-21.0,-61.0,29.0,252.0
Dane County,2020-04-04,-63.0,-20.0,-39.0,15.0,269.0
Dane County,2020-04-05,-61.0,-29.0,-41.0,12.0,280.0
Dane County,2020-04-06,-58.0,-26.0,-61.0,27.0,287.0
Dane County,2020-04-07,-55.0,-19.0,-63.0,27.0,289.0
Dane County,2020-04-08,-61.0,-26.0,-63.0,29.0,303.0
Dane County,2020-04-09,-60.0,-19.0,-63.0,29.0,307.0
Dane County,2020-04-10,-57.0,-16.0,-63.0,29.0,313.0
Dane County,2020-04-11,-63.0,-12.0,-39.0,15.0,327.0
Dane County,2020-04-12,-78.0,-48.0,-50.0,15.0,334.0
Dane County,2020-04-13,-58.0,-26.0,-61.0,27.0,340.0
Dane County,2020-04-14,-60.0,-25.0,-62.0,29.0,344.0
Dane County,2020-04-15,-56.0,-20.0,-61.0,28.0,351.0
Dane County,2020-04-16,-56.0,-20.0,-61.0,29.0,352.0
Dane County,2020-04-17,-55.0,-23.0,-59.0,29.0,359.0
Dane County,2020-04-18,-58.0,-19.0,-35.0,14.0,358.0
Dane County,2020-04-19,-57.0,-27.0,-38.0,11.0,361.0
Dane County,2020-04-20,-53.0,-26.0,-60.0,26.0,364.0
Dane County,2020-04-21,-54.0,-19.0,-61.0,27.0,382.0
Dane County,2020-04-22,-55.0,-23.0,-61.0,27.0,386.0
Dane County,2020-04-23,-56.0,-20.0,-60.0,28.0,387.0
Dane County,2020-04-24,-53.0,-22.0,-58.0,28.0,395.0
Dane County,2020-04-25,-58.0,-19.0,-34.0,14.0,401.0
Dane County,2020-04-26,-53.0,-22.0,-37.0,9.0,405.0
Dane County,2020-04-27,-51.0,-23.0,-58.0,26.0,412.0
Dane County,2020-04-28,-53.0,-19.0,-60.0,20.0,417.0
Dane County,2020-04-29,-55.0,-23.0,-61.0,28.0,424.0
Dane County,2020-04-30,-49.0,-10.0,-59.0,26.0,428.0
Dane County,2020-05-01,-48.0,-10.0,-57.0,25.0,430.0
Dane County,2020-05-02,-52.0,-7.0,-30.0,10.0,433.0
Dane County,2020-05-03,-48.0,-12.0,-32.0,8.0,436.0
Dane County,2020-05-04,-45.0,-12.0,-57.0,24.0,441.0
Dane County,2020-05-05,-48.0,-5.0,-58.0,26.0,443.0
Dane County,2020-05-06,-46.0,-5.0,-58.0,24.0,445.0
Dane County,2020-05-07,-48.0,-5.0,-57.0,25.0,447.0
Dane County,2020-05-08,-47.0,-4.0,-55.0,25.0,455.0
Dane County,2020-05-09,-50.0,5.0,-28.0,10.0,465.0
Dane County,2020-05-10,-54.0,-16.0,-32.0,10.0,472.0
Dane County,2020-05-11,-48.0,-14.0,-55.0,23.0,474.0
Dane County,2020-05-12,-46.0,-6.0,-56.0,24.0,477.0
Dane County,2020-05-13,-45.0,-8.0,-56.0,24.0,490.0
Dane County,2020-05-14,-48.0,-11.0,-57.0,26.0,494.0
Dane County,2020-05-15,-44.0,-8.0,-55.0,22.0,507.0
Dane County,2020-05-16,-49.0,-6.0,-26.0,9.0,519.0
Dane County,2020-05-17,-55.0,-24.0,-29.0,12.0,537.0
Dane County,2020-05-18,-43.0,-12.0,-54.0,24.0,538.0
Dane County,2020-05-19,-45.0,-7.0,-55.0,24.0,541.0
Dane County,2020-05-20,-38.0,0.0,-55.0,21.0,563.0
Dane County,2020-05-21,-41.0,0.0,-55.0,22.0,576.0
Dane County,2020-05-22,-42.0,-2.0,-54.0,21.0,587.0
Dane County,2020-05-23,-51.0,-9.0,-23.0,10.0,594.0
Dane County,2020-05-24,-40.0,-2.0,-25.0,4.0,596.0
Dane County,2020-05-25,-42.0,-7.0,-82.0,24.0,604.0
Dane County,2020-05-26,-35.0,-1.0,-51.0,21.0,630.0
Dane County,2020-05-27,-31.0,3.0,-51.0,20.0,652.0
Dane County,2020-05-28,-39.0,-7.0,-51.0,24.0,679.0
Dane County,2020-05-29,-34.0,-1.0,-47.0,19.0,705.0
Dane County,2020-05-30,-35.0,4.0,-5.0,5.0,725.0
Dane County,2020-05-31,-32.0,-3.0,-7.0,4.0,730.0
Dane County,2020-06-01,-27.0,-1.0,-47.0,18.0,735.0
Dane County,2020-06-02,-32.0,4.0,-49.0,20.0,759.0
Dane County,2020-06-03,-29.0,6.0,-49.0,19.0,773.0
Dane County,2020-06-04,-29.0,6.0,-48.0,19.0,789.0
Dane County,2020-06-05,-30.0,3.0,-45.0,17.0,800.0
Dane County,2020-06-06,-35.0,6.0,-5.0,4.0,814.0
Dane County,2020-06-07,-28.0,-1.0,-10.0,3.0,843.0
Dane County,2020-06-08,-24.0,2.0,-46.0,17.0,856.0
Dane County,2020-06-09,-34.0,-3.0,-48.0,21.0,871.0
Dane County,2020-06-10,-30.0,-3.0,-48.0,20.0,884.0
Dane County,2020-06-11,-24.0,9.0,-47.0,17.0,896.0
Dane County,2020-06-12,-26.0,4.0,-45.0,15.0,930.0
Dane County,2020-06-13,-31.0,5.0,-1.0,3.0,933.0
Dane County,2020-06-14,-25.0,0.0,-5.0,2.0,956.0
Dane County,2020-06-15,-20.0,2.0,-46.0,16.0,968.0
Dane County,2020-06-16,-24.0,8.0,-47.0,17.0,980.0
Dane County,2020-06-17,-22.0,8.0,-47.0,16.0,1000.0
Dane County,2020-06-18,-23.0,8.0,-47.0,16.0,1017.0
Dane County,2020-06-19,-24.0,3.0,-45.0,14.0,1034.0
